=== 06:24:29 START qwen2.5-coder-3b-instruct-128k (skip_q10=0) ===
No models to unload.

[?25lLoading qwen2.5-coder-3b-instruct-128k ⠙[?25lLoading qwen2.5-coder-3b-instruct-128k ⠹[?25lLoading qwen2.5-coder-3b-instruct-128k ⠸[?25lLoading qwen2.5-coder-3b-instruct-128k ⠼[?25lLoading qwen2.5-coder-3b-instruct-128k ⠴[?25lLoading qwen2.5-coder-3b-instruct-128k ⠦[?25lLoading qwen2.5-coder-3b-instruct-128k ⠧[?25lLoading qwen2.5-coder-3b-instruct-128k ⠇[?25lLoading qwen2.5-coder-3b-instruct-128k ⠏[?25lLoading qwen2.5-coder-3b-instruct-128k ⠋[?25lLoading qwen2.5-coder-3b-instruct-128k ⠙[?25lLoading qwen2.5-coder-3b-instruct-128k ⠹[?25lLoading qwen2.5-coder-3b-instruct-128k ⠸[?25lLoading qwen2.5-coder-3b-instruct-128k ⠼[?25lLoading qwen2.5-coder-3b-instruct-128k ⠴[?25lLoading qwen2.5-coder-3b-instruct-128k ⠦[?25lLoading qwen2.5-coder-3b-instruct-128k ⠧[?25lLoading qwen2.5-coder-3b-instruct-128k ⠇[K[?25hModel loaded successfully in 1.46s.
(5.75 GiB)
To use the model in the API/SDK, use the identifier "qwen2.5-coder-3b-instruct-128k".
--- Q10 precheck (T1 arm_b ×10) ---
trial=15675182-9ed9-4c85-a33b-8ea552ba503f task=T1 arm=arm_b run=1 parses=False functional_pass=False frags=6 in_tok=4079 out_tok=194 lm_ms=24679 total_ms=25292
trial=58deb234-6de9-489e-8d55-e50880e14d8b task=T1 arm=arm_b run=2 parses=False functional_pass=False frags=6 in_tok=4079 out_tok=194 lm_ms=18137 total_ms=18758
trial=0956bb35-8bc2-403e-9717-5136e367bdfe task=T1 arm=arm_b run=3 parses=False functional_pass=False frags=6 in_tok=4079 out_tok=194 lm_ms=18011 total_ms=18625
trial=47c9adfb-1f26-4315-97c1-a9875e44b9df task=T1 arm=arm_b run=4 parses=False functional_pass=False frags=6 in_tok=4079 out_tok=194 lm_ms=18015 total_ms=18654
trial=1d12804d-4ea7-4fc2-bcb4-89b691b4a75a task=T1 arm=arm_b run=5 parses=False functional_pass=False frags=6 in_tok=4079 out_tok=194 lm_ms=18213 total_ms=18930
trial=57113514-9fb5-4fb1-9d18-37c42d16dbfd task=T1 arm=arm_b run=6 parses=False functional_pass=False frags=6 in_tok=4079 out_tok=194 lm_ms=18052 total_ms=18683
trial=4358aa5b-7efa-47e4-8df3-1ea7f854e5ea task=T1 arm=arm_b run=7 parses=False functional_pass=False frags=6 in_tok=4079 out_tok=194 lm_ms=17997 total_ms=18718
trial=7baecca2-7c28-4eb2-8a25-5ff050c71a88 task=T1 arm=arm_b run=8 parses=False functional_pass=False frags=6 in_tok=4079 out_tok=194 lm_ms=18231 total_ms=18867
trial=3d5ebd2e-c5f6-4539-9f06-83a9cdf14e02 task=T1 arm=arm_b run=9 parses=False functional_pass=False frags=6 in_tok=4079 out_tok=194 lm_ms=18051 total_ms=18728
trial=c92d5d29-9769-4159-8dfc-e39e60ad24e5 task=T1 arm=arm_b run=10 parses=False functional_pass=False frags=6 in_tok=4079 out_tok=194 lm_ms=18042 total_ms=18776
--- Frag arms (T3a/T3b/T4 ×3 ×3) ---
trial=cf1010ee-c32e-483c-8007-e39a9586972d task=T3a arm=arm_a run=1 parses=True functional_pass=False frags=16 in_tok=9123 out_tok=816 lm_ms=94254 total_ms=94919
trial=ba66b2fa-82c9-4ae2-ba6e-2a324d4ce307 task=T3a arm=arm_a run=2 parses=True functional_pass=False frags=16 in_tok=9123 out_tok=816 lm_ms=77932 total_ms=78614
trial=a1d97551-d17d-48ea-b5ba-7685d1d728fe task=T3a arm=arm_a run=3 parses=True functional_pass=False frags=16 in_tok=9123 out_tok=816 lm_ms=77903 total_ms=78586
trial=9739a29f-9feb-40b1-b85f-bfc2a8c6c407 task=T3a arm=arm_b run=1 parses=False functional_pass=False frags=12 in_tok=7428 out_tok=160 lm_ms=23086 total_ms=23792
trial=2a3591ae-8a07-4445-bacc-43f9818009a5 task=T3a arm=arm_b run=2 parses=False functional_pass=False frags=12 in_tok=7428 out_tok=160 lm_ms=15258 total_ms=15939
